267	1	"The Wild Hunt"	Cole Sanchez	Sam Alden, Erik Fountain & Polly Guo	September 17, 2017	1054-275	0.77[269]
268	2	"Always BMO Closing"	Diana Lafyatis	Graham Falk & Kent Osborne	September 17, 2017	1054-273	0.77[269]
269	3	"Son of Rap Bear"	Diana Lafyatis	Seo Kim & Somvilay Xayaphone	September 17, 2017	1054-276	0.77[269]
270	4	"Bonnibel Bubblegum"	Diana Lafyatis	Hanna K. Nyström & Aleks Sennwald	September 17, 2017	1054-274	0.77[269]
271	5	"Seventeen"	Cole Sanchez	Seo Kim & Somvilay Xayaphone	December 17, 2017	1054-281	0.76[270]
272	6	"Ring of Fire"	Cole Sanchez	Tom Herpich & Steve Wolfhard	December 17, 2017	1054-277	0.76[270]
273	7	"Marcy & Hunson"	Cole Sanchez	Graham Falk & Adam Muto	December 17, 2017	1054-278	0.76[270]
274	8	"The First Investigation"	Diana Lafyatis	Hanna K. Nyström & Aleks Sennwald	December 17, 2017	1054-279	0.76[270]
275	9	"Blenanas"	Diana Lafyatis	Sam Alden & Patrick McHale	March 18, 2018	1054-280	0.53[271]
276	10	"Jake the Starchild"	Cole Sanchez	Hanna K. Nyström & Aleks Sennwald	March 18, 2018	1054-283	0.53[271]
277	11	"Temple of Mars"	Diana Lafyatis	Tom Herpich & Steve Wolfhard	March 18, 2018	1054-282	0.53[271]
278	12	"Gumbaldia"	Diana Lafyatis	Sam Alden & Graham Falk	March 18, 2018	1054-284	0.53[271]
